angle,label,score
71,Sketch,0.8253272175788879
71,Leaf,0.7594611644744873
71,Wood,0.7410978674888611
71,Rock,0.6981205940246582
71,Branch,0.6203985214233398
71,Pattern,0.6189838647842407
71,Art,0.5813031792640686
71,Trunk,0.5469489693641663
71,Illustration,0.5451834201812744
72,Drawing,0.7840303778648376
72,Sketch,0.7831593751907349
72,Tree,0.7469744682312012
72,Wood,0.6917140483856201
72,Room,0.6566392779350281
72,Rock,0.6438128352165222
72,Trunk,0.5889434814453125
72,Art,0.5813031792640686
72,Illustration,0.5765818953514099
73,Drawing,0.757125735282898
73,Sketch,0.7341562509536743
73,Wood,0.7195796966552734
73,Rock,0.6438128352165222
73,Trunk,0.6058474779129028
73,Illustration,0.6017356514930725
73,Art,0.5813031792640686
73,Fictional character,0.5279175639152527
74,Wood,0.6917140483856201
74,Drawing,0.6608409881591797
74,Sketch,0.5973607301712036
74,Trunk,0.5889434814453125
74,Illustration,0.5765818953514099
74,Beige,0.5484284162521362
74,Art,0.502187192440033
75,Drawing,0.6909903883934021
75,Tree,0.6869218349456787
75,Wood,0.6534817218780518
75,Sketch,0.6338061094284058
75,Illustration,0.6225569844245911
75,Beige,0.5993316173553467
75,Art,0.5813031792640686
75,Trunk,0.5469489693641663
75,Rock,0.5422748923301697
76,Wood,0.6917140483856201
76,Drawing,0.6909903883934021
76,Headgear,0.6747809648513794
76,Sketch,0.6599893569946289
76,Trunk,0.6341295838356018
76,Illustration,0.6017356514930725
76,Beige,0.5484284162521362
76,Art,0.502187192440033
77,Tree,0.6869218349456787
77,Drawing,0.6691721677780151
77,Wood,0.6534817218780518
77,Trunk,0.6341295838356018
77,Illustration,0.6225569844245911
77,Sketch,0.6138961315155029
77,Table,0.5864706635475159
77,Beige,0.5484284162521362
77,Rock,0.5422748923301697
77,Art,0.502187192440033
78,Drawing,0.7499530911445618
78,Sketch,0.7177655696868896
78,Tree,0.6869218349456787
78,Trunk,0.6058474779129028
78,Wood,0.5958532094955444
78,Illustration,0.5765818953514099
78,Rock,0.5422748923301697
78,Art,0.502187192440033
79,Drawing,0.7813957333564758
79,Sketch,0.7626960277557373
79,Tree,0.6869218349456787
79,Wood,0.6534817218780518
79,Rock,0.6438128352165222
79,Trunk,0.6058474779129028
79,Illustration,0.5765818953514099
79,Beige,0.5484284162521362
79,Art,0.502187192440033
80,Drawing,0.8505352139472961
80,Sketch,0.8340480923652649
80,Tree,0.6869218349456787
80,Illustration,0.6225569844245911
80,Beige,0.5993316173553467
80,Wood,0.5958532094955444
80,Rock,0.5422748923301697
80,Art,0.502187192440033
81,Drawing,0.8250590562820435
81,Sketch,0.7732500433921814
81,Tree,0.6869218349456787
81,Headgear,0.6747809648513794
81,Beige,0.6367136240005493
81,Illustration,0.6225569844245911
81,Wood,0.5958532094955444
81,Rock,0.5422748923301697
81,Art,0.502187192440033
82,Drawing,0.8127357363700867
82,Sketch,0.7831593751907349
82,Wood,0.5958532094955444
82,Illustration,0.5765818953514099
82,Beige,0.5484284162521362
82,Art,0.502187192440033
83,Drawing,0.8006102442741394
83,Sketch,0.7490517497062683
83,Wood,0.5958532094955444
83,Beige,0.5484284162521362
83,Trunk,0.5469489693641663
83,Illustration,0.5451834201812744
84,Drawing,0.7499530911445618
84,Tree,0.6869218349456787
84,Sketch,0.6827123761177063
84,Rock,0.6438128352165222
84,Wood,0.5958532094955444
84,Trunk,0.5889434814453125
84,Illustration,0.5451834201812744
84,Art,0.502187192440033
85,Drawing,0.8454797267913818
85,Sketch,0.7812252640724182
85,Illustration,0.6225569844245911
85,Trunk,0.5889434814453125
85,Rock,0.5422748923301697
85,Artwork,0.5107235908508301
85,Art,0.502187192440033
86,Drawing,0.8467711210250854
86,Sketch,0.7869599461555481
86,Tree,0.7469744682312012
86,Illustration,0.6688148975372314
86,Trunk,0.6058474779129028
86,Artwork,0.5337058305740356
86,Art,0.502187192440033
87,Drawing,0.7984194755554199
87,Sketch,0.6963261365890503
87,Tree,0.6869218349456787
87,Illustration,0.6225569844245911
87,Wood,0.5958532094955444
87,Trunk,0.5695573687553406
87,Rock,0.5422748923301697
87,Art,0.502187192440033
